repo,stars,forks,lastpush
"stm32duino/ST25DV
",24,12,2021-11-18T08:22:40Z
"tanakamasayuki/ESP32LitePack
",24,5,2021-07-01T07:06:24Z
"DmytroKorniienko/EmbUI
",24,10,2022-02-10T11:48:39Z
"xreef/SimpleFTPServer
",24,6,2022-02-02T07:22:11Z
"sstaub/TeensyID
",23,7,2022-01-29T16:15:42Z
"adafruit/Adafruit_IS31FL3731
",23,20,2021-06-21T19:09:44Z
"blanu/codec2-arduino
",23,9,2017-09-28T06:09:28Z
"DaleGia/ESPFlash
",23,6,2021-10-03T23:05:33Z
"durydevelop/arduino-lib-oled
",23,11,2022-02-12T13:48:59Z
"hideakitai/ArxContainer
",23,3,2022-01-03T10:59:19Z
"Infineon/TLV493D-A1B6-3DMagnetic-Sensor
",23,22,2021-04-14T06:50:23Z
"jeroenvermeulen/JeVe_EasyOTA
",23,12,2021-05-13T13:04:31Z
"JHershey69/OpenWeatherOneCall
",23,11,2021-11-14T21:14:12Z
"JoaoLopesF/ESP32MotorControl
",23,7,2021-11-21T17:47:09Z
"khoih-prog/MySQL_MariaDB_Generic
",23,7,2021-12-22T05:14:21Z
"khoih-prog/WiFiManager_NINA_Lite
",23,8,2022-02-04T00:40:52Z
"MajicDesigns/MD_AD9833
",23,9,2021-02-23T05:34:51Z
"MartinL1/I2C_DMAC
",23,6,2022-01-17T13:05:07Z
"mrfaptastic/WiFiConnectLite
",23,2,2021-03-25T17:54:49Z
"Protocentral/ProtoCentral_ads1262
",23,18,2021-03-27T05:10:37Z
"SodaqMoja/Sodaq_RN2483
",23,35,2021-03-26T20:15:13Z
"sparkfun/SparkFun_AS7265x_Arduino_Library
",23,16,2021-08-27T17:29:13Z
"stblassitude/Adafruit_SSD1306_Wemos_OLED
",23,10,2020-01-07T04:31:41Z
"SukkoPera/Webbino
",23,9,2021-10-19T12:58:05Z
"thebigpotatoe/Effortless-SPIFFS
",23,9,2021-03-19T14:49:17Z
"Zanduino/BME680
",23,7,2021-12-11T15:44:47Z
"Abdurraziq/ZMPT101B-arduino
",23,17,2021-10-03T09:42:31Z
"adafruit/Adafruit_MMA8451_Library
",22,36,2021-10-11T14:59:54Z
"ArminJo/Arduino-BlueDisplay
",22,2,2021-11-19T13:01:16Z
"athombv/homey-arduino-library
",22,17,2020-12-20T14:04:31Z
"avandalen/VirtualDelay
",22,13,2021-04-24T14:57:35Z
"carlosefr/magstripelib
",22,13,2020-08-05T16:08:18Z
"connornishijima/arduino-volume2
",22,3,2018-07-16T23:24:01Z
"d-a-v/ESPWebDAV
",22,4,2022-02-13T22:43:47Z
"daitangio/sid-arduino-lib
",22,2,2018-09-15T09:34:07Z
"gregington/NetEEPROM
",22,7,2019-12-29T04:53:28Z
"GyverLibs/EncButton
",22,5,2022-02-11T21:22:36Z
"highno/rtcvars
",22,2,2019-07-22T14:18:01Z
"jaean123/DeadReckoning-library
",22,12,2019-06-19T19:47:17Z
"levosos/Midier
",22,5,2021-10-27T08:08:24Z
"michalmonday/CSV-Parser-for-Arduino
",22,4,2021-09-11T16:07:35Z
"MicroBahner/MobaTools
",22,2,2022-01-22T17:05:14Z
"mobizt/FirebaseJson
",22,5,2022-02-12T08:17:32Z
"Nredor/ESPNexUpload
",22,16,2021-04-03T14:12:38Z
"ozhantr/DigitLedDisplay
",22,15,2021-02-23T13:34:41Z
"Seeed-Studio/IRSendRev
",22,14,2020-08-21T01:41:25Z
"Seeed-Studio/Seeed_Arduino_FS
",22,11,2021-12-21T09:34:28Z
"thexeno/HardWire-Arduino-Library
",22,5,2021-03-27T17:45:08Z
"waspinator/CD74HC4067
",22,13,2016-11-26T04:00:19Z
"wilmouths/RGBLed
",22,11,2022-01-27T16:29:50Z
"xreef/PCF8591_library
",22,8,2021-11-29T08:57:29Z
"YiannisBourkelis/Uptime-Library
",22,3,2019-03-19T20:16:09Z
"adafruit/Adafruit_9DOF
",21,26,2021-08-13T23:14:04Z
"adafruit/Adafruit_ZeroI2S
",21,13,2021-10-12T15:58:46Z
"airgradienthq/arduino
",21,35,2022-02-12T16:19:05Z
"arduino-libraries/MKRNB
",21,33,2021-12-20T13:05:25Z
"ArduinoGetStarted/button
",21,14,2021-12-27T19:43:09Z
"bolderflight/BMI088
",21,13,2021-02-12T00:29:24Z
"distrakt/OmEspHelpers
",21,7,2021-01-01T23:42:01Z
"DrGFreeman/SharpDistSensor
",21,10,2020-10-10T15:18:46Z
"jasonacox/TM1637TinyDisplay
",21,6,2022-01-03T18:13:45Z
"lucasromeiro/DropboxManager
",21,6,2019-05-31T06:22:51Z
"luisllamasbinaburo/Arduino-Interpolation
",21,5,2020-05-05T19:22:24Z
"maxpautsch/SvgParser
",21,10,2018-06-17T15:43:35Z
"OpenBCI/OpenBCI_Ganglion_Library
",21,16,2019-03-30T14:36:56Z
"pololu/lsm6-arduino
",21,25,2021-03-28T20:08:10Z
"pu2clr/RDA5807
",21,3,2021-08-16T13:48:38Z
"remicaumette/esp8266-redis
",21,10,2018-12-31T11:58:32Z
"Rufus31415/Sharer
",21,1,2022-01-16T14:04:45Z
"smaffer/vgaxua
",21,11,2019-05-18T09:06:24Z
"sparkfun/SparkFun_ATECCX08a_Arduino_Library
",21,14,2022-01-12T21:01:44Z
"sparkfun/SparkFun_External_EEPROM_Arduino_Library
",21,7,2022-01-14T16:10:52Z
"sparkfun/SparkFun_LTE_Shield_Arduino_Library
",21,12,2021-07-12T07:28:55Z
"sparkfun/SparkFun_TLC5940_Arduino_Library
",21,15,2018-07-17T14:55:37Z
"TheThingsNetwork/arduino-node-lib
",21,26,2020-09-24T19:45:37Z
"tobozo/ESP8266SDUpdater
",21,2,2018-05-27T07:15:07Z
"vidor-libraries/VidorGraphics
",21,5,2018-09-10T07:30:58Z
"xreef/DHT12_sensor_library
",21,11,2021-11-29T08:53:50Z
"YuriiSalimov/AxisJoystick
",21,7,2020-07-31T18:01:47Z
"sstaub/NTP
",20,8,2022-01-29T16:15:09Z
"connornishijima/Pixie_Chroma
",20,3,2022-01-06T22:53:53Z
"4dsystems/Goldelox-Serial-Arduino-Library
",20,15,2020-11-06T03:07:46Z
"8bitbuddhist/PixelMaestro
",20,4,2022-02-13T01:11:36Z
"adafruit/Adafruit_BLEFirmata
",20,12,2020-04-03T02:14:30Z
"adafruit/Adafruit_FeatherOLED
",20,12,2021-11-02T17:19:29Z
"andium/AmazonDRS
",20,9,2019-12-19T10:04:42Z
"ardnew/STUSB4500
",20,1,2021-01-12T21:02:11Z
"arduino-libraries/Arduino_OV767X
",20,17,2022-01-10T08:52:12Z
"arpruss/GameControllersSTM32
",20,3,2022-01-31T03:51:54Z
"d00616/arduino-NVM
",20,4,2020-10-18T10:17:38Z
"danja/TM1638lite
",20,8,2021-12-13T09:30:24Z
"LennartHennigs/ESPBattery
",20,3,2020-03-28T17:40:25Z
"madhephaestus/lx16a-servo
",20,6,2021-12-04T21:05:11Z
"mickey9801/ButtonFever
",20,2,2019-12-30T04:16:04Z
"panStamp/swap
",20,11,2017-07-12T08:46:41Z
"RoboTech-srl/EasyVR-Arduino
",20,6,2019-06-21T11:41:49Z
"RobTillaart/I2CKeyPad
",20,4,2021-12-19T19:21:00Z
"Seeed-Studio/Mutichannel_Gas_Sensor
",20,23,2020-05-15T07:36:59Z
"sparkfun/SparkFun_AS3935_Lightning_Detector_Arduino_Library
",20,14,2020-10-02T19:55:34Z
"sparkfun/SparkFun_MicroView_Arduino_Library
",20,11,2019-05-04T05:10:39Z
"SUPLA/supla-arduino
",20,50,2022-01-18T13:26:26Z
"tinkerspy/Automaton-Esp8266
",20,7,2020-01-08T18:37:11Z
"tobozo/ESP32-PsRamFS
",20,2,2021-09-22T15:46:06Z
"vshymanskyy/StreamDebugger
",20,7,2021-08-09T21:27:53Z
"weckbach/AstroMech
",20,3,2019-03-11T08:27:56Z
"xoseperez/eeprom32_rotate
",20,10,2019-09-23T13:52:50Z
"dndubins/QuickStats
",20,9,2021-12-28T19:35:52Z
"adafruit/Adafruit_SoftServo
",19,10,2020-04-06T21:44:17Z
"adafruit/Adafruit_SSD1305
",19,17,2021-04-26T20:34:18Z
"adafruit/WaveHC
",19,11,2020-04-25T18:03:46Z
"agdl/Base64
",19,9,2020-11-24T21:12:25Z
"amperka/Troyka-IMU
",19,22,2021-08-15T16:08:54Z
"arduino-libraries/UnoWiFi-Developer-Edition-Lib
",19,20,2021-02-11T14:20:13Z
"arkhipenko/EspBootstrap
",19,4,2021-09-24T18:03:50Z
"ArminJo/Arduino-FrequencyDetector
",19,5,2021-11-20T21:32:46Z
"simplefoc/Arduino-FOC-drivers
",19,10,2022-02-03T22:36:36Z
"Chris--A/BitBool
",19,7,2018-07-18T02:48:38Z
"Chris--A/PGMWrap
",19,5,2018-06-15T17:36:40Z
"connornishijima/Lixie_II
",19,6,2020-07-07T19:20:29Z
"exosite-garage/arduino_exosite_library
",19,41,2019-10-08T05:59:30Z
"GyverLibs/GyverOLED
",19,6,2022-02-13T22:49:05Z
"khoih-prog/EthernetWebServer_SSL
",19,5,2022-02-03T23:18:34Z
"marcmerlin/Framebuffer_GFX
",19,5,2021-12-28T12:26:27Z
"MartinL1/BMP280_DEV
",19,11,2021-01-23T14:33:57Z
"MonsieurV/ArduinoPocketGeiger
",19,6,2020-02-20T16:28:05Z
"Seeed-Studio/Grove_BME280
",19,17,2020-07-20T05:58:19Z
"vidor-libraries/USBBlaster
",19,5,2019-05-10T07:48:51Z
"WonderCRM/CRMui3
",19,11,2022-01-26T13:12:14Z
"sstaub/gma3
",18,0,2022-01-29T16:13:51Z
"adafruit/Adafruit_LvGL_Glue
",18,7,2021-10-03T13:07:26Z
"adafruit/Adafruit_MPL115A2
",18,20,2021-06-14T20:04:21Z
"adafruit/Adafruit_Protomatter
",18,12,2022-01-21T18:29:53Z
"adafruit/Pro_Trinket_USB_Keyboard_Library
",18,2,2020-06-15T21:05:23Z
"argandas/ardubson
",18,7,2021-07-02T04:46:52Z
"astuder/icp-101xx
",18,6,2021-08-19T04:04:45Z
"Chris--A/EEWrap
",18,3,2015-10-29T22:43:07Z
"constiko/RV-3028_C7-Arduino_Library
",18,13,2020-10-27T12:27:42Z
"DonnyCraft1/PIDArduino
",18,13,2018-11-14T08:47:54Z
"drewfish/arduino-ZeroRegs
",18,6,2020-06-15T13:41:36Z
"fabiopjve/ULWOS2
",18,4,2020-09-07T13:18:16Z
"JChristensen/MCP79412RTC
",18,14,2019-12-31T02:48:33Z
"JoaoLopesF/RemoteDebugger
",18,3,2019-03-23T17:10:57Z
"khoih-prog/SinricPro_Generic
",18,7,2022-02-04T00:22:42Z
"kike-canaries/canairio_sensorlib
",18,8,2022-02-05T14:09:33Z
"KONNEKTING/KonnektingDeviceLibrary
",18,12,2021-03-08T07:09:00Z
"lemio/esp32_ble_wedo
",18,4,2017-07-21T11:12:10Z
"MarkusLange/RTCDue
",18,10,2018-07-16T10:40:55Z
"morcibacsi/esp32_rmt_van_rx
",18,4,2020-06-28T09:46:56Z
"newdigate/teensy-variable-playback
",18,5,2021-09-25T14:07:32Z
"ocrdu/Arduino_SAMD21_turbo_PWM
",18,7,2022-02-04T18:28:47Z
"openmv/openmv-arduino-rpc
",18,13,2021-12-12T06:17:56Z
"pierremolinaro/acan2517FD
",18,8,2021-12-11T20:39:29Z
"plapointe6/EspHtmlTemplateProcessor
",18,6,2020-12-04T22:54:03Z
"RobTillaart/HX711
",18,11,2021-12-19T15:10:13Z
"salvadorrueda/SerialMP3Player
",18,8,2019-10-03T17:38:02Z
"Seeed-Studio/Accelerometer_ADXL345
",18,16,2020-05-12T09:18:31Z
"Seeed-Studio/Seeed_Arduino_LSM6DS3
",18,9,2022-02-11T05:44:24Z
"Seeed-Studio/Wio_LTE_Arduino_Library
",18,10,2020-05-12T09:31:24Z
"shortbloke/Arduino_SNMP_Manager
",18,4,2021-09-11T17:03:19Z
"sparkfun/SparkFun_Bio_Sensor_Hub_Library
",18,23,2021-01-06T19:01:41Z
"bitbank2/unzipLIB
",18,3,2022-02-04T18:46:16Z
"chrmlinux/WiFiWire
",18,1,2022-02-03T12:49:22Z
"0xCAFEDECAF/VanBus
",17,2,2022-02-04T09:57:21Z
"4dsystems/Picaso-Serial-Arduino-Library
",17,24,2020-11-06T03:06:40Z
"adafruit/Adafruit_MCP3008
",17,12,2021-08-27T17:41:49Z
"adafruit/Adafruit_SI1145_Library
",17,31,2021-09-07T20:52:30Z
"adafruit/Adafruit_TFLite
",17,6,2020-12-09T09:13:13Z
"adafruit/Adafruit_TLC59711
",17,17,2021-06-07T20:36:42Z
"adafruit/Adafruit_TMP006
",17,16,2021-08-12T14:43:14Z
"adafruit/Adafruit-Si4713-Library
",17,7,2020-05-07T21:59:24Z
"adafruit/HL1606-LED-Strip-PWM
",17,4,2019-01-24T15:39:55Z
"ameltech/sme-cc2541-library
",17,8,2018-07-16T12:35:34Z
"arpruss/vectordisplayarduino
",17,6,2018-07-22T13:32:29Z
"bolderflight/BME280
",17,7,2021-12-20T17:47:49Z
"ciniml/ExtFlashLoader
",17,1,2021-04-12T06:00:50Z
"coddingtonbear/arduino-async-duplex
",17,6,2019-12-23T03:52:33Z
"coddingtonbear/arduino-managed-serial-device
",17,6,2019-12-23T03:52:33Z
"dantudose/MAX44009
",17,6,2019-12-27T11:43:16Z
"Dlloydev/ESP32-ESP32S2-AnalogWrite
",17,5,2021-09-19T13:44:31Z
"ElectronicCats/ElectronicCats-PN7150
",17,5,2021-03-28T23:25:31Z
"F4GOJ/AD9850SPI
",17,6,2018-08-26T16:01:33Z
"gabriel-milan/TinyMPU6050
",17,7,2021-03-14T11:26:13Z
"Infineon/TLE493D-3DMagnetic-Sensor
",17,9,2021-09-30T06:31:01Z
"IoTGuruLive/theiotguru-arduino-library
",17,4,2021-11-21T20:39:43Z
"jlusPrivat/SimpleHOTP
",17,3,2022-01-04T04:24:16Z
"JRVeale/function-fsm
",17,4,2019-08-07T21:57:20Z
"krzychb/DimSwitch
",17,7,2020-02-20T20:54:53Z
"llelundberg/EasyWebServer
",17,6,2021-04-06T12:54:33Z
"neonode-inc/zforce-arduino
",17,7,2021-05-04T14:27:54Z
"prampec/arduino-pcimanager
",17,10,2019-03-19T09:35:39Z
"RobTillaart/SHT31
",17,7,2022-01-18T11:26:45Z
"sparkfun/SparkFun_LIS3DH_Arduino_Library
",17,16,2019-09-17T21:32:02Z
"sparkfun/SparkFun_ToF_Range_Finder-VL6180_Arduino_Library
",17,15,2021-11-08T23:09:45Z
"SpellFoundry/SleepyPi2
",17,15,2021-08-13T12:20:07Z
"Stan-Reifel/ArduinoUserInterface
",17,7,2020-05-30T22:53:14Z
"STEMpedia/Dabble
",17,9,2019-10-15T05:31:04Z
"techwillsaveus/Gamer
",17,9,2018-07-17T14:31:45Z
"adafruit/Adafruit_MAX31856
",16,27,2021-04-08T19:53:52Z
"annem/ADXL362
",16,32,2019-01-20T15:11:21Z
"Arduboy/ArduboyPlaytune
",16,8,2018-04-12T20:16:06Z
"arduino-libraries/Arduino_APDS9960
",16,17,2022-01-17T05:14:03Z
"arkhipenko/Dictionary
",16,6,2021-12-17T16:23:41Z
"codewrite/arduino-capacitor
",16,6,2020-10-30T14:36:15Z
"d03n3rfr1tz3/HC-SR04
",16,5,2021-06-18T22:45:32Z
"hideakitai/MCP4728
",16,4,2020-11-26T10:44:43Z
"hideakitai/MsgPack
",16,1,2022-01-02T10:11:59Z
"khoih-prog/BlynkGSM_Manager
",16,2,2022-02-09T01:39:41Z
"khoih-prog/ESP_DoubleResetDetector
",16,7,2022-02-11T02:00:54Z
"khoih-prog/ESPAsync_WiFiManager_Lite
",16,6,2022-02-12T02:08:42Z
"LAtimes2/InternalTemperature
",16,6,2021-12-19T04:50:16Z
"leomil72/leOS
",16,4,2018-07-21T07:53:25Z
"Locoduino/DCCpp
",16,10,2020-11-08T15:35:46Z
"MajicDesigns/MD_Cubo
",16,7,2020-11-08T22:37:42Z
"Mickaelh51/Arduino-Oregon-Library
",16,6,2016-01-06T21:33:20Z
"mprograms/SimpleRotary
",16,8,2021-12-23T07:00:23Z
"OpenBCI/OpenBCI_Radios
",16,20,2019-11-16T10:08:18Z
"PaulStoffregen/FrequencyTimer2
",16,11,2021-12-18T23:11:32Z
"pu2clr/AKC695X
",16,7,2021-08-16T13:27:37Z
"RobTillaart/RunningAverage
",16,2,2021-12-28T09:12:14Z
"Saeterncj/MX1508
",16,10,2021-11-17T21:51:50Z
"saghonfly/SimpleEspNowConnection
",16,5,2021-12-16T06:46:10Z
"Seeed-Studio/Grove_Air_quality_Sensor
",16,14,2020-05-12T09:18:02Z
"shashikg/PixhawkArduinoMAVLink
",16,15,2020-05-29T01:48:14Z
"sparkfun/SparkFun_MMA8452Q_Arduino_Library
",16,28,2021-06-02T02:38:43Z
"sparkfun/SparkFun_SerLCD_Arduino_Library
",16,8,2021-06-07T17:45:21Z
"stechio/arduino-ad-mux-lib
",16,11,2021-03-01T10:54:02Z
"stm32duino/LSM6DSL
",16,9,2021-10-05T16:22:45Z
"SunjunKim/PMW3360
",16,9,2019-06-04T22:54:40Z
"tiagolobao/CS5490
",16,10,2021-01-24T00:27:29Z
"xreef/ABB_Aurora_Solar_Inverter_Library
",16,0,2021-11-29T08:52:54Z
"DFRobot/DFRobot_SHT20
",15,17,2022-01-13T02:10:31Z
"adafruit/Adafruit_CAP1188_Library
",15,23,2021-09-07T20:50:44Z
"adafruit/Adafruit_DotStarMatrix
",15,5,2021-11-02T17:01:30Z
"adafruit/HL1606-LED-Strip
",15,4,2020-06-19T02:06:18Z
"AIS-DeviceInnovation/Magellan_SIM7020E
",15,11,2022-01-20T09:20:40Z
"arduino-libraries/Arduino_OAuth
",15,4,2022-01-10T09:12:01Z
"arduino-libraries/SigFox
",15,22,2021-12-20T13:02:03Z
"arduino-org/arduino-library-lora-node-shield
",15,11,2020-02-19T10:22:57Z
"denkitronik/ADS1118
",15,9,2021-11-14T18:21:11Z
"erdnaxe/Arduino_BrushlessServo
",15,4,2018-07-16T08:44:14Z
"flav1972/ArduinoINA219
",15,12,2021-07-24T20:04:33Z
"gelraen/Arduino-PID-Library
",15,2,2021-06-30T09:35:27Z
"gilmaimon/ArduinoComponents
",15,1,2019-05-11T12:25:34Z
"igvina/ArdBitmap
",15,7,2017-03-23T15:36:55Z
"Infineon/IFX007T-Motor-Control
",15,5,2021-06-22T07:17:14Z
"jeremylindsayni/Bifrost.Arduino.Sensors.HCSR04
",15,12,2019-02-07T21:33:51Z
"jfitter/MLX90614
",15,13,2020-02-13T09:24:05Z
"junwha0511/LiquidCrystal_I2C_Hangul
",15,6,2022-02-09T17:23:20Z
"khoih-prog/MDNS_Generic
",15,3,2022-01-26T06:36:40Z
"klenov/advancedSerial
",15,0,2017-03-31T17:10:37Z
"labfruits/mcp3208
",15,10,2022-01-06T12:43:54Z
"Locoduino/SlowMotionServo
",15,3,2020-01-01T20:48:42Z
"Naguissa/uTimerLib
",15,9,2022-02-09T12:26:08Z
"ncmreynolds/retroTerm
",15,2,2022-01-02T12:18:21Z
"neosarchizo/TinyGPS
",15,13,2021-06-23T09:01:27Z
"PaulStoffregen/PWMServo
",15,10,2018-07-16T11:15:46Z
"plapointe6/HAMqttDevice
",15,4,2021-04-21T13:50:18Z
"pololu/amis-30543-arduino
",15,6,2020-12-16T23:57:16Z
"pololu/lis3mdl-arduino
",15,15,2020-12-17T21:37:25Z
"pstolarz/CoopThreads
",15,1,2022-02-06T17:06:29Z
"pu2clr/SI4844
",15,5,2021-08-16T13:39:52Z
"QuickSander/ArduinoHttpServer
",15,7,2021-04-18T13:58:30Z
"r-downing/SPIFFSReadServer
",15,6,2018-04-07T20:44:18Z
"RemoteXY/RemoteXY-Arduino-library
",15,5,2021-12-31T10:36:35Z
"RobTillaart/CRC
",15,5,2022-02-08T08:41:40Z
"Sensirion/arduino-i2c-scd4x
",15,5,2021-10-25T07:03:58Z
"sparkfun/SparkFunDMX
",15,4,2019-09-21T00:21:19Z
"stm32duino/X-NUCLEO-NFC03A1
",15,9,2021-10-25T09:17:05Z
"tinyMLx/arduino-library
",15,13,2022-01-13T00:15:41Z
"wollewald/MCP23017_WE
",15,3,2021-12-16T19:30:09Z
"adafruit/Adafruit_LSM9DS1
",14,22,2021-11-22T21:38:34Z
"adafruit/Adafruit_Soundboard_library
",14,14,2020-07-11T16:48:01Z
"adafruit/TinyLiquidCrystal
",14,6,2021-02-09T21:46:39Z
"alextaujenis/RBD_SerialManager
",14,5,2020-06-08T20:00:37Z
"arduino-libraries/Arduino_NineAxesMotion
",14,31,2022-01-10T09:16:07Z
"ArkEcosystem/cpp-crypto
",14,10,2021-01-18T05:42:09Z
"arkhipenko/TM1650
",14,9,2021-07-28T02:15:54Z
"asukiaaa/SomeSerial
",14,10,2022-01-03T23:12:16Z
"bakercp/MCP3XXX
",14,1,2019-08-12T03:41:05Z
"closedcube/ClosedCube_OPT3001_Arduino
",14,11,2022-02-13T08:32:38Z
"CreativeRobotics/Commander
",14,5,2021-08-06T10:56:34Z
"DanielSaromo/PyDuinoBridge
",14,0,2020-06-19T19:25:35Z
"fabianoriccardi/rtcmemory
",14,6,2021-09-05T15:05:10Z
"fatpat/arduino-dra818
",14,6,2021-12-01T07:20:45Z
"fenichelar/Pin
",14,2,2021-10-26T04:39:17Z
"grzesl/ESPMail
",14,6,2020-05-07T20:36:04Z
"GyverLibs/microDS18B20
",14,4,2022-02-13T11:39:05Z
"janelia-arduino/MPR121
",14,4,2021-09-16T18:09:48Z
"janelia-arduino/TMC429
",14,6,2021-09-16T18:52:28Z
"janw-cz/JWA_BME280
",14,9,2021-01-31T10:51:06Z
"khoih-prog/WiFiNINA_Generic
",14,9,2022-01-09T18:36:21Z
"leomil72/analogComp
",14,14,2018-11-29T19:49:04Z
"leomil72/pRNG
",14,5,2018-07-21T07:48:01Z
"LinnesLab/LMP91000
",14,9,2021-10-05T21:32:00Z
"MajicDesigns/MD_MAXPanel
",14,5,2019-12-30T20:16:22Z
"MakerSpaceLeiden/rfid
",14,7,2021-10-22T12:36:44Z
"MattFryer/Board_Identify
",14,3,2022-02-08T15:20:46Z
"OSSLibraries/Arduino_MFRC522v2
",14,11,2022-01-08T15:16:16Z
"monolithicpower/MagAlpha-Arduino-Library
",14,4,2020-03-31T14:49:08Z
"muwerk/ustd
",14,2,2021-10-19T08:26:06Z
"Patrick-Thomas/Sparkpad-Arduino
",14,3,2021-08-13T11:13:52Z
"paulo-raca/YetAnotherArduinoPcIntLibrary
",14,4,2016-04-02T23:02:54Z
"philj404/SimpleSerialShell
",14,5,2022-02-09T05:28:27Z
"pololu/drv8835-motor-shield
",14,20,2021-07-22T19:54:08Z
"pololu/dual-mc33926-motor-shield
",14,28,2020-12-17T18:19:15Z
"pololu/qik-arduino
",14,9,2022-01-06T21:57:46Z
"porrey/max1704x
",14,5,2022-01-29T23:23:45Z
"PowerBroker2/ArdUAV
",14,3,2020-12-31T03:11:33Z
"RobolinkInc/CoDrone
",14,11,2020-02-05T04:17:10Z
"SergiuToporjinschi/settingsmanager
",14,6,2020-01-06T10:11:17Z
"siara-cc/Unishox_Arduino_Progmem_lib
",14,2,2019-09-13T04:58:03Z
"stevemarple/MCP342x
",14,14,2021-10-17T15:06:32Z
"stm32duino/VL53L0X
",14,12,2021-11-15T08:19:18Z
"yoprogramo/ESP_QRcode
",14,8,2021-09-13T19:31:09Z
"YuriiSalimov/MAX6675_Thermocouple
",14,10,2019-12-25T18:16:20Z
"Zwer2k/WeatherStationDataRx
",14,7,2021-02-11T22:41:38Z
"grafana/prometheus-arduino
",14,2,2022-01-18T13:10:26Z
"malokhvii-eduard/arduino-bme280
",14,0,2022-01-17T09:28:36Z
"GyverLibs/QuickCharge
",13,2,2022-02-08T18:57:37Z
"adafruit/Adafruit_AHT10
",13,8,2022-02-01T16:55:22Z
"adafruit/Adafruit_AHTX0
",13,8,2022-02-01T16:55:22Z
"adafruit/Adafruit_AM2320
",13,8,2022-01-31T20:37:16Z
"adafruit/Adafruit_VEML6070
",13,16,2021-03-16T19:37:10Z
"adafruit/Adafruit_VEML6075
",13,6,2021-07-16T14:41:26Z
"adafruit/Pro_Trinket_USB_Mouse
",13,5,2020-06-15T21:05:59Z
"adafruit/TinyXML
",13,12,2020-11-13T20:20:56Z
"AllWize/allwize
",13,5,2021-03-29T21:19:16Z
"annem/AD7193
",13,9,2018-05-24T14:13:15Z
"arduino-libraries/ArduinoMotorCarrier
",13,14,2022-01-10T07:50:31Z
"arduino-libraries/Braccio
",13,11,2022-01-10T09:07:09Z
"baghayi/Nokia_5110
",13,7,2018-11-23T09:45:08Z
"bitbank2/ssd1327
",13,8,2021-12-20T14:57:59Z
"bxparks/AceCommon
",13,3,2022-01-24T02:58:37Z
"daniel-centore/arduino-tone-library
",13,4,2016-11-03T00:04:12Z
"datacute/TinyOLED-Fonts
",13,2,2022-01-23T00:31:21Z
"dmadison/HID_Buttons
",13,2,2021-01-13T13:39:51Z
"dok-net/CoopTask
",13,2,2021-10-30T09:19:36Z
"eNBeWe/MiCS6814-I2C-Library
",13,7,2021-05-20T09:39:27Z
"gavinlyonsrepo/NOKIA5110_TEXT
",13,3,2021-04-26T12:20:46Z
"GewoonGijs/VID28
",13,7,2021-01-27T12:54:41Z
"hunsalz/log4Esp
",13,5,2019-02-19T15:33:37Z
"jakerabid/WiFiManager
",13,4,2019-06-03T20:47:50Z
"jensh/CopyThreads
",13,5,2020-10-01T14:24:22Z
"LeemanGeophysicalLLC/FIR_Filter_Arduino_Library
",13,5,2017-07-16T20:10:38Z
"MajicDesigns/MD_YM2413
",13,3,2020-01-30T04:43:22Z
"maly/edushield
",13,5,2020-09-03T10:01:22Z
"matsujirushi/MjGrove
",13,4,2019-09-08T05:12:54Z
"mudmin/ESPCanary
",13,8,2021-10-18T14:55:13Z
"Naguissa/uEEPROMLib
",13,2,2020-07-03T13:50:51Z
"pixelmatix/GifDecoder
",13,2,2021-02-08T01:14:46Z
"pololu/high-power-stepper-driver-arduino
",13,4,2020-12-17T20:52:40Z
"pololu/lps-arduino
",13,15,2020-12-17T20:50:47Z
"Seeed-Studio/Digital_Infrared_Temperature_Sensor_MLX90615
",13,17,2020-05-18T12:51:24Z
"simap/TouchWheel
",13,0,2017-06-15T17:52:27Z
"smaffer/espvgax2
",13,5,2020-04-18T21:30:54Z
"Starmbi/hp_BH1750
",13,4,2022-02-02T18:33:31Z
"stm32duino/M24SR64-Y
",13,5,2021-10-05T13:44:37Z
"technosf/ESPxRGB
",13,3,2021-09-19T06:53:26Z
"tejashwikalptaru/ssd1306xled
",13,3,2020-03-21T08:37:00Z
"thewknd/VEML6040
",13,5,2021-05-27T14:16:19Z
"UBTEDU/uKitExplore-library
",13,6,2020-10-10T02:07:15Z
"uStepper/uStepper-S-lite
",13,4,2021-01-18T20:20:33Z
"vishnumaiea/R30X-Fingerprint-Sensor-Library
",13,4,2021-06-10T11:34:22Z
"witnessmenow/youtube-livestream-arduino
",13,1,2021-10-13T20:28:59Z
"ianhattwick/controlVoltage
",13,2,2022-02-10T03:06:35Z
"PowerBroker2/ArduPID
",12,1,2022-01-07T21:20:58Z
"0015/ESP32-OV5640-AF
",12,6,2021-12-07T18:55:36Z
"107-systems/107-Arduino-NMEA-Parser
",12,3,2021-09-06T09:43:45Z
"adafruit/Adafruit_AS7341
",12,11,2021-10-05T22:53:52Z
"adafruit/Adafruit_CompositeVideo
",12,5,2020-05-26T02:38:54Z
"adafruit/Adafruit_FXOS8700
",12,13,2021-09-29T19:32:44Z
"adafruit/Adafruit_SensorLab
",12,15,2022-01-31T20:49:22Z
"adafruit/Adafruit_VCNL4010
",12,12,2022-01-03T11:58:06Z
